beneficiary_id,program_id,registration_date,country,age,gender,household_size,vulnerability_score
BEN-690277,PROG-105,2025-01-05,Ethiopia,71,Male,11,0.53
BEN-354810,PROG-104,2025-12-01,South Sudan,22,Female,9,0.41
BEN-438652,PROG-103,2026-01-05,South Sudan,78,Female,4,0.96
BEN-544723,PROG-103,2025-03-24,DRC,38,F,5,
BEN-392205,PROG-102,2024-06-11,Somalia,40,Female,6,0.6
BEN-442746,PROG-103,2025-12-12,South Sudan,15,male,11,0.59
BEN-436037,PROG-104,2024-12-14,South Sudan,98,,3,
BEN-571482,PROG-103,2025-09-04,Kenya,44,Female,11,0.33
BEN-213682,PROG-104,2024-07-06,Ethiopia,25,,9,0.34
BEN-311800,PROG-105,2025-01-02,South Sudan,17,M,10,0.77
BEN-648691,PROG-102,2025-02-25,Ethiopia,6,female,9,0.3
BEN-291148,PROG-102,2025-09-26,Kenya,12,Female,6,0.75
BEN-477075,PROG-101,2026-03-22,Ethiopia,0,male,3,0.47
BEN-601074,PROG-104,2025-11-14,Somalia,83,F,5,0.39
BEN-868895,PROG-101,2025-10-20,Kenya,83,male,4,0.58
BEN-293055,PROG-101,2025-09-09,Ethiopia,53,,3,0.94
BEN-347198,PROG-101,2025-07-14,Somalia,100,Female,3,0.94
BEN-414171,PROG-103,2025-10-19,Kenya,1,Male,10,0.64
BEN-418950,PROG-103,2026-04-11,South Sudan,58,female,9,0.57
BEN-857669,PROG-102,2024-12-09,DRC,59,Male,4,0.83
BEN-247926,PROG-103,2024-10-20,Ethiopia,93,Female,11,0.33
BEN-347734,PROG-102,2025-02-19,Kenya,94,Male,5,0.61
BEN-647488,PROG-102,2025-06-12,Ethiopia,78,,11,0.91
BEN-340459,PROG-104,2025-11-15,DRC,41,M,7,0.7
BEN-252312,PROG-102,2024-07-14,Ethiopia,61,Male,4,0.11
BEN-407622,PROG-104,2025-12-09,Ethiopia,57,,5,0.96
BEN-540143,PROG-103,2025-10-17,DRC,92,male,1,0.34
BEN-835400,PROG-103,2025-07-30,Ethiopia,7,female,2,0.52
BEN-856657,PROG-102,2024-05-29,Somalia,87,male,12,0.79
BEN-667689,PROG-101,2024-09-12,South Sudan,47,male,4,0.3
BEN-682453,PROG-102,2025-12-25,Somalia,19,Female,12,0.99
BEN-123510,PROG-103,2026-05-19,Somalia,89,male,8,0.78
BEN-814932,PROG-102,2024-07-15,Ethiopia,87,,10,0.89
BEN-696729,PROG-101,2025-11-13,DRC,57,male,12,0.43
BEN-966380,PROG-105,2025-05-22,Kenya,7,,9,0.91
BEN-318989,PROG-102,2024-09-09,DRC,68,F,3,0.4
BEN-329913,PROG-105,2026-05-14,Somalia,14,female,4,0.75
BEN-223084,PROG-104,2025-12-27,Kenya,65,Female,1,0.51
BEN-433297,PROG-105,2024-09-23,Somalia,58,male,1,0.6
BEN-942594,PROG-103,2025-12-02,Kenya,50,Male,1,0.77
BEN-420546,PROG-105,2025-07-05,Kenya,5,Female,6,0.73
BEN-891389,PROG-105,2026-04-10,Kenya,8,Female,1,0.36
BEN-382947,PROG-102,2025-11-27,Ethiopia,98,female,12,0.68
BEN-841538,PROG-104,2025-03-03,South Sudan,48,Female,7,0.44
BEN-380448,PROG-105,2026-03-01,Ethiopia,83,,6,0.21
BEN-974262,PROG-105,2026-02-18,Somalia,67,F,12,0.98
BEN-703245,PROG-101,2025-11-03,Kenya,38,Female,11,0.75
BEN-970431,PROG-104,2025-01-24,DRC,48,,4,
BEN-233028,PROG-103,2024-08-21,Ethiopia,35,F,12,0.79
BEN-511571,PROG-101,2024-06-11,Somalia,78,,1,0.32
BEN-173977,PROG-101,2024-11-11,Kenya,76,M,8,0.64
BEN-864566,PROG-101,2026-02-06,Ethiopia,94,M,7,0.5
BEN-120208,PROG-105,2026-02-11,Ethiopia,96,,1,0.23
BEN-377986,PROG-103,2026-05-22,Ethiopia,93,male,6,0.62
BEN-941552,PROG-103,2025-04-21,Ethiopia,38,F,11,0.57
BEN-218260,PROG-104,2024-11-25,South Sudan,35,M,9,0.95
BEN-808199,PROG-102,2025-11-07,Somalia,71,Female,1,0.98
BEN-420846,PROG-104,2025-05-09,DRC,40,female,7,0.47
BEN-114120,PROG-103,2024-06-09,Somalia,23,,9,0.53
BEN-997732,PROG-102,2024-10-22,South Sudan,90,F,8,0.92
BEN-835656,PROG-105,2026-02-13,Somalia,53,male,9,0.22
BEN-361335,PROG-102,2025-11-05,South Sudan,26,Male,11,0.17
BEN-609957,PROG-104,2025-05-10,South Sudan,11,male,12,0.85
BEN-327786,PROG-101,2025-08-11,South Sudan,48,female,10,0.64
BEN-569318,PROG-101,2025-07-12,Ethiopia,97,male,12,0.7
BEN-564216,PROG-102,2025-02-10,Somalia,26,,6,0.37
BEN-619789,PROG-101,2025-09-28,Ethiopia,24,female,2,
BEN-245403,PROG-104,2025-12-04,Ethiopia,89,male,12,0.28
BEN-331499,PROG-102,2025-09-12,DRC,-1,,5,0.44
BEN-331341,PROG-105,2024-10-02,South Sudan,39,Male,6,0.56
BEN-292102,PROG-104,2024-08-01,Somalia,12,,12,0.52
BEN-584198,PROG-103,2026-05-15,Ethiopia,47,Male,7,0.14
BEN-122503,PROG-102,2024-10-28,Ethiopia,2,Male,9,0.94
BEN-525596,PROG-105,2025-12-29,Somalia,37,F,4,0.4
BEN-196192,PROG-104,2024-09-13,DRC,31,Female,9,0.69
BEN-190763,PROG-103,2025-12-31,South Sudan,97,,8,0.97
BEN-483203,PROG-104,2025-04-05,Somalia,21,female,6,0.25
BEN-171124,PROG-105,2026-05-18,Somalia,23,male,11,0.96
BEN-480552,PROG-105,2026-01-23,Kenya,9,,11,0.14
BEN-142999,PROG-101,2025-06-14,Somalia,17,,11,0.31
BEN-355833,PROG-102,2024-10-24,Kenya,27,male,8,0.44
BEN-844775,PROG-105,2025-10-26,DRC,61,female,8,0.11
BEN-212485,PROG-105,2024-11-13,DRC,52,M,1,0.58
BEN-826746,PROG-103,2026-01-11,DRC,36,M,9,0.83
BEN-753471,PROG-104,2024-07-20,Ethiopia,13,M,9,0.23
BEN-139200,PROG-102,2025-03-18,DRC,67,Male,6,0.34
BEN-151283,PROG-104,2025-04-03,Kenya,47,Female,8,0.61
BEN-943116,PROG-102,2024-09-04,South Sudan,87,,2,0.69
BEN-239725,PROG-101,2024-10-11,Kenya,51,Female,7,0.6
BEN-271696,PROG-101,2025-12-25,Kenya,89,F,2,0.55
BEN-309517,PROG-104,2025-08-23,South Sudan,72,,2,0.91
BEN-223390,PROG-101,2025-07-23,Ethiopia,27,,12,0.9
BEN-818074,PROG-104,2024-12-15,South Sudan,5,M,11,0.93
BEN-440452,PROG-105,2024-11-02,DRC,84,M,3,0.94
BEN-955677,PROG-103,2024-08-28,Kenya,26,male,3,0.78
BEN-993811,PROG-104,2026-05-01,Kenya,38,F,10,0.32
BEN-241919,PROG-104,2026-04-19,DRC,42,Female,12,0.23
BEN-340793,PROG-101,2026-05-19,DRC,95,Male,1,0.19
BEN-898002,PROG-102,2025-04-19,Kenya,43,male,10,0.96
BEN-580844,PROG-104,2024-07-06,South Sudan,3,female,5,0.81
BEN-955541,PROG-104,2025-05-14,Somalia,29,Male,9,0.95
BEN-915195,PROG-104,2025-11-19,Ethiopia,87,male,11,0.44
BEN-603089,PROG-105,2025-09-05,South Sudan,31,female,2,0.17
BEN-517975,PROG-102,2025-11-03,Somalia,91,,11,0.24
BEN-676704,PROG-104,2026-05-20,South Sudan,46,M,2,0.1
BEN-156914,PROG-102,2025-07-04,South Sudan,56,M,12,0.36
BEN-420546,PROG-105,2025-07-05,Kenya,5,Female,6,0.73
BEN-494137,PROG-101,2024-07-29,South Sudan,85,Male,12,0.16
BEN-219036,PROG-102,2025-02-15,DRC,58,,12,0.93
BEN-734272,PROG-102,2026-03-17,Somalia,49,,10,0.95
BEN-621274,PROG-103,2024-12-10,DRC,150,male,12,0.24
BEN-522641,PROG-101,2025-10-15,Somalia,12,male,8,0.11
BEN-341086,PROG-101,2025-10-16,Kenya,19,female,3,0.81
BEN-156914,PROG-102,2025-07-04,South Sudan,56,M,12,0.36
BEN-199917,PROG-105,2025-06-25,Kenya,99,,3,0.97
BEN-584198,PROG-103,2026-05-15,Ethiopia,47,Male,7,0.14
BEN-394752,PROG-101,2025-10-07,South Sudan,68,M,8,0.43
BEN-310946,PROG-103,2025-07-24,Kenya,83,Male,5,0.21
BEN-327786,PROG-101,2025-08-11,South Sudan,48,female,10,0.64
BEN-539590,PROG-104,2025-08-24,Ethiopia,78,male,5,0.47
